"State","ifr_new","ifr_OR"
"Massachusetts",0.00836934425970661,2.01234360605563
"Minnesota",0.00665743229294297,1.60072771435043
"Connecticut",0.00665368578870713,1.59982689660293
"Pennsylvania",0.00659229734111006,1.58506652277025
"New Hampshire",0.006511602200401,1.5656640050333
"Ohio",0.00614396593163965,1.47726872915036
"Indiana",0.00611557800403609,1.47044307318144
"Iowa",0.00594235349632209,1.42879259021725
"Wisconsin",0.00592838952146794,1.42543506128297
"Rhode Island",0.00572260491695895,1.37595575678094
"Missouri",0.00564402352105707,1.35706147251074
"Kentucky",0.00561903555674212,1.35105331121911
"Idaho",0.00557078316237774,1.33945139901871
"West Virginia",0.00528121654291035,1.26982736192207
"South Dakota",0.00510614341548028,1.22773239275319
"Kansas",0.00509853918941634,1.22590401585485
"Virginia",0.00509794630331376,1.22576146101176
"Maine",0.00498217442138708,1.19792501419743
"Michigan",0.00488926550573,1.17558578945455
"Montana",0.00484317799039435,1.16450440554599
"Colorado",0.00479378872023714,1.15262914042073
"Oregon",0.00468263838382986,1.12590390821144
"South Carolina",0.00463966670264768,1.11557170234381
"Washington",0.00462842497004307,1.11286871534436
"North Dakota",0.00447969055884487,1.07710668523931
"Arkansas",0.00447540279541584,1.07607572593677
"Florida",0.00444621735365227,1.069058313903
"New Jersey",0.00438387495544608,1.05406857008037
"Illinois",0.00431597089982935,1.03774156907464
"Wyoming",0.00429123030718564,1.03179288637362
"Oklahoma",0.00415234465182479,0.998398912859611
"Maryland",0.00410638713111115,0.987348785144886
"Vermont",0.00403552207975869,0.970309835789143
"Nebraska",0.00398803669997855,0.95889234626828
"New York",0.0039877018323626,0.958811829959603
"Alabama",0.00397690498771844,0.956215812803294
"Tennessee",0.00397675761857454,0.956180379041072
"Delaware",0.00387062238436772,0.930660989073859
"North Carolina",0.0038184960864362,0.918127626949557
"Mississippi",0.00368178003085703,0.885255316795652
"Louisiana",0.00353355843625482,0.849616589444797
"Alaska",0.0034972494992877,0.840886388501787
"Utah",0.00338004274620391,0.812704938099486
"Hawaii",0.00337995461130858,0.812683746750728
"Nevada",0.00334155367138516,0.803450539999577
"Georgia",0.00333764310333178,0.802510274385681
"Puerto Rico",0.00315936037025478,0.759643580551031
"California",0.00310300582655582,0.746093569682108
"District of Columbia",0.00299470914367086,0.720054476224119
"Texas",0.00296022527979402,0.711763099883114
"Arizona",0.00265518553169966,0.638418669588165
"New Mexico",0.00247659947133667,0.595479043071387
